w  L  F   dF   ddF gamma2
3.499999999999999778e-01  3.299999999999999822e+00  3.297999999999999821e-01  5.726999999999999869e-01  -2.071099999999999941e+00  -1.000000000000000000e+00
3.599999999999999867e-01  3.279999999999999805e+00  3.353999999999999759e-01  5.521000000000000352e-01  -2.062100000000000044e+00  -1.000000000000000000e+00
3.699999999999999956e-01  3.259999999999999787e+00  3.408999999999999808e-01  5.314999999999999725e-01  -2.052500000000000213e+00  -1.000000000000000000e+00
3.800000000000000044e-01  3.240000000000000213e+00  3.461000000000000187e-01  5.110000000000000098e-01  -2.042300000000000004e+00  -1.000000000000000000e+00
3.900000000000000133e-01  3.220000000000000195e+00  3.511000000000000232e-01  4.907000000000000250e-01  -2.031600000000000072e+00  -1.000000000000000000e+00
4.000000000000000222e-01  3.200000000000000178e+00  3.558999999999999941e-01  4.703999999999999848e-01  -2.020399999999999974e+00  -1.000000000000000000e+00
4.099999999999999756e-01  3.180000000000000160e+00  3.604999999999999871e-01  4.501999999999999891e-01  -2.008700000000000152e+00  -1.000000000000000000e+00
4.199999999999999845e-01  3.160000000000000142e+00  3.649000000000000021e-01  4.302000000000000268e-01  -1.996499999999999941e+00  -1.000000000000000000e+00
4.299999999999999933e-01  3.140000000000000124e+00  3.690999999999999837e-01  4.102999999999999980e-01  -1.983800000000000008e+00  -1.000000000000000000e+00
4.400000000000000022e-01  3.120000000000000107e+00  3.730999999999999872e-01  3.905000000000000138e-01  -1.970599999999999907e+00  -1.000000000000000000e+00
4.500000000000000111e-01  3.100000000000000089e+00  3.769000000000000128e-01  3.709000000000000075e-01  -1.956900000000000084e+00  -1.000000000000000000e+00
4.600000000000000200e-01  3.080000000000000071e+00  3.805000000000000049e-01  3.513999999999999901e-01  -1.942800000000000082e+00  -1.000000000000000000e+00
4.699999999999999734e-01  3.060000000000000053e+00  3.839000000000000190e-01  3.321000000000000063e-01  -1.928199999999999914e+00  -1.000000000000000000e+00
4.799999999999999822e-01  3.040000000000000036e+00  3.871999999999999886e-01  3.128000000000000225e-01  -1.913200000000000012e+00  -1.000000000000000000e+00
4.899999999999999911e-01  3.020000000000000018e+00  3.901999999999999913e-01  2.938000000000000056e-01  -1.897699999999999942e+00  -1.000000000000000000e+00
5.000000000000000000e-01  3.000000000000000000e+00  3.930000000000000160e-01  2.748999999999999777e-01  -1.881899999999999906e+00  -1.000000000000000000e+00
5.100000000000000089e-01  2.979999999999999982e+00  3.956999999999999962e-01  2.561999999999999833e-01  -1.865599999999999925e+00  -1.000000000000000000e+00
5.200000000000000178e-01  2.959999999999999964e+00  3.981999999999999984e-01  2.376000000000000056e-01  -1.848899999999999988e+00  -1.000000000000000000e+00
5.300000000000000266e-01  2.939999999999999947e+00  4.003999999999999782e-01  2.192000000000000060e-01  -1.831900000000000084e+00  -1.000000000000000000e+00
5.400000000000000355e-01  2.919999999999999929e+00  4.025000000000000244e-01  2.008999999999999952e-01  -1.814500000000000002e+00  -1.000000000000000000e+00
5.500000000000000444e-01  2.899999999999999911e+00  4.045000000000000262e-01  1.829000000000000070e-01  -1.796699999999999964e+00  -1.000000000000000000e+00
5.600000000000000533e-01  2.879999999999999893e+00  4.062000000000000055e-01  1.650000000000000078e-01  -1.778599999999999959e+00  -1.000000000000000000e+00
5.699999999999999512e-01  2.859999999999999876e+00  4.077999999999999958e-01  1.472999999999999865e-01  -1.760199999999999987e+00  -1.000000000000000000e+00
5.799999999999999600e-01  2.839999999999999858e+00  4.091000000000000192e-01  1.297999999999999987e-01  -1.741400000000000059e+00  -1.000000000000000000e+00
5.899999999999999689e-01  2.819999999999999840e+00  4.103999999999999870e-01  1.125000000000000028e-01  -1.722399999999999931e+00  -1.000000000000000000e+00
5.999999999999999778e-01  2.799999999999999822e+00  4.113999999999999879e-01  9.539999999999999869e-02  -1.703000000000000069e+00  -1.000000000000000000e+00
6.099999999999999867e-01  2.779999999999999805e+00  4.122999999999999998e-01  7.839999999999999747e-02  -1.683400000000000007e+00  -1.000000000000000000e+00
6.199999999999999956e-01  2.759999999999999787e+00  4.129999999999999782e-01  6.169999999999999790e-02  -1.663499999999999979e+00  -1.000000000000000000e+00
6.300000000000000044e-01  2.740000000000000213e+00  4.134999999999999787e-01  4.519999999999999712e-02  -1.643399999999999972e+00  -1.000000000000000000e+00
6.400000000000000133e-01  2.720000000000000195e+00  4.138999999999999901e-01  2.879999999999999921e-02  -1.622999999999999998e+00  -1.000000000000000000e+00
6.500000000000000222e-01  2.700000000000000178e+00  4.141000000000000236e-01  1.269999999999999948e-02  -1.602400000000000047e+00  -1.000000000000000000e+00
6.600000000000000311e-01  2.680000000000000160e+00  4.141000000000000236e-01  -3.200000000000000153e-03  -1.581599999999999895e+00  -1.000000000000000000e+00
6.700000000000000400e-01  2.660000000000000142e+00  4.139999999999999791e-01  -1.890000000000000013e-02  -1.560599999999999987e+00  -1.000000000000000000e+00
6.800000000000000488e-01  2.640000000000000124e+00  4.137000000000000122e-01  -3.440000000000000002e-02  -1.539400000000000102e+00  -1.000000000000000000e+00
6.899999999999999467e-01  2.620000000000000107e+00  4.133000000000000007e-01  -4.970000000000000112e-02  -1.518100000000000005e+00  -1.000000000000000000e+00
6.999999999999999556e-01  2.600000000000000089e+00  4.127000000000000113e-01  -6.479999999999999649e-02  -1.496499999999999941e+00  -1.000000000000000000e+00
7.099999999999999645e-01  2.580000000000000071e+00  4.119999999999999774e-01  -7.960000000000000409e-02  -1.474900000000000100e+00  -1.000000000000000000e+00
7.199999999999999734e-01  2.560000000000000053e+00  4.112000000000000099e-01  -9.429999999999999494e-02  -1.453100000000000058e+00  -1.000000000000000000e+00
7.299999999999999822e-01  2.540000000000000036e+00  4.101000000000000201e-01  -1.087000000000000050e-01  -1.431100000000000039e+00  -1.000000000000000000e+00
7.399999999999999911e-01  2.520000000000000018e+00  4.089999999999999747e-01  -1.228999999999999954e-01  -1.409100000000000019e+00  -1.000000000000000000e+00
7.500000000000000000e-01  2.500000000000000000e+00  4.077000000000000068e-01  -1.368999999999999939e-01  -1.387000000000000011e+00  -1.000000000000000000e+00
7.600000000000000089e-01  2.479999999999999982e+00  4.062000000000000055e-01  -1.506000000000000116e-01  -1.364800000000000013e+00  -1.000000000000000000e+00
7.700000000000000178e-01  2.459999999999999964e+00  4.047000000000000042e-01  -1.642000000000000126e-01  -1.342500000000000027e+00  -1.000000000000000000e+00
7.800000000000000266e-01  2.439999999999999947e+00  4.030000000000000249e-01  -1.774999999999999911e-01  -1.320100000000000051e+00  -1.000000000000000000e+00
7.900000000000000355e-01  2.419999999999999929e+00  4.011000000000000121e-01  -1.905999999999999917e-01  -1.297700000000000076e+00  -1.000000000000000000e+00
8.000000000000000444e-01  2.399999999999999911e+00  3.991999999999999993e-01  -2.034999999999999865e-01  -1.275300000000000100e+00  -1.000000000000000000e+00
8.100000000000000533e-01  2.379999999999999893e+00  3.971000000000000085e-01  -2.160999999999999865e-01  -1.252899999999999903e+00  -1.000000000000000000e+00
8.199999999999999512e-01  2.359999999999999876e+00  3.947999999999999843e-01  -2.285000000000000087e-01  -1.230399999999999938e+00  -1.000000000000000000e+00
8.299999999999999600e-01  2.339999999999999858e+00  3.925000000000000155e-01  -2.406999999999999973e-01  -1.207899999999999974e+00  -1.000000000000000000e+00
8.399999999999999689e-01  2.319999999999999840e+00  3.900000000000000133e-01  -2.526999999999999802e-01  -1.185499999999999998e+00  -1.000000000000000000e+00
8.499999999999999778e-01  2.299999999999999822e+00  3.874000000000000221e-01  -2.644000000000000239e-01  -1.163100000000000023e+00  -1.000000000000000000e+00
8.599999999999999867e-01  2.279999999999999805e+00  3.846999999999999864e-01  -2.758999999999999786e-01  -1.140700000000000047e+00  -1.000000000000000000e+00
8.699999999999999956e-01  2.259999999999999787e+00  3.819000000000000172e-01  -2.872000000000000108e-01  -1.118300000000000072e+00  -1.000000000000000000e+00
8.800000000000000044e-01  2.240000000000000213e+00  3.790000000000000036e-01  -2.983000000000000096e-01  -1.096000000000000085e+00  -1.000000000000000000e+00
8.900000000000000133e-01  2.220000000000000195e+00  3.760000000000000009e-01  -3.090999999999999859e-01  -1.073800000000000088e+00  -1.000000000000000000e+00
9.000000000000000222e-01  2.200000000000000178e+00  3.728000000000000203e-01  -3.197999999999999732e-01  -1.051600000000000090e+00  -1.000000000000000000e+00
9.100000000000000311e-01  2.180000000000000160e+00  3.695999999999999841e-01  -3.301999999999999935e-01  -1.029500000000000082e+00  -1.000000000000000000e+00
9.200000000000000400e-01  2.160000000000000142e+00  3.662000000000000255e-01  -3.403999999999999804e-01  -1.007500000000000062e+00  -1.000000000000000000e+00
9.300000000000000488e-01  2.140000000000000124e+00  3.627000000000000224e-01  -3.503999999999999893e-01  -9.951999999999999735e-01  -1.000000000000000000e+00
9.399999999999999467e-01  2.120000000000000107e+00  3.592000000000000193e-01  -3.603000000000000091e-01  -9.878000000000000114e-01  -1.000000000000000000e+00
9.499999999999999556e-01  2.100000000000000089e+00  3.554999999999999827e-01  -3.700999999999999845e-01  -9.804000000000000492e-01  -1.000000000000000000e+00
9.599999999999999645e-01  2.080000000000000071e+00  3.518000000000000016e-01  -3.799000000000000155e-01  -9.728999999999999870e-01  -1.000000000000000000e+00
9.699999999999999734e-01  2.060000000000000053e+00  3.478999999999999870e-01  -3.896000000000000019e-01  -9.654000000000000359e-01  -1.000000000000000000e+00
