S V(S) theta
1.356307932181740394e+00 2.491387902256014808e-01 1.111111111111111049e-01
1.359346312474738694e+00 2.481240926791233592e-01 1.111111111111111049e-01
1.362379094213100883e+00 2.471153562504211920e-01 1.111111111111111049e-01
1.365406282157380247e+00 2.461125389850256084e-01 1.111111111111111049e-01
1.368427881228607701e+00 2.451155993426634150e-01 1.111111111111111049e-01
1.371443897210801177e+00 2.441244955889814161e-01 1.111111111111111049e-01
1.374454336167146407e+00 2.431391862422193906e-01 1.111111111111111049e-01
1.377459204160561779e+00 2.421596303412338058e-01 1.111111111111111049e-01
1.380458507253966571e+00 2.411857874384255029e-01 1.111111111111111049e-01
1.383452251510279174e+00 2.402176175922840773e-01 1.111111111111111049e-01
1.386440442992418420e+00 2.392550813600621273e-01 1.111111111111111049e-01
1.389423087763303588e+00 2.382981397905779564e-01 1.111111111111111049e-01
1.392400191885852623e+00 2.373467544171445343e-01 1.111111111111111049e-01
1.395371761422984358e+00 2.364008872506202230e-01 1.111111111111111049e-01
1.398337802585305489e+00 2.354605006600935801e-01 1.111111111111111049e-01
1.401298322375542194e+00 2.345255567859270973e-01 1.111111111111111049e-01
1.404253328050122818e+00 2.335960179715921847e-01 1.111111111111111049e-01
1.407202826865121548e+00 2.326718470229859892e-01 1.111111111111111049e-01
1.410146826076612125e+00 2.317530072023326615e-01 1.111111111111111049e-01
1.413085332940667627e+00 2.308394622217155301e-01 1.111111111111111049e-01
1.416018354713362237e+00 2.299311762367194090e-01 1.111111111111111049e-01
1.418945898650769921e+00 2.290281138401825956e-01 1.111111111111111049e-01
1.421867972008963976e+00 2.281302400560541732e-01 1.111111111111111049e-01
1.424784582044018366e+00 2.272375203333561189e-01 1.111111111111111049e-01
1.427695736146899597e+00 2.263499204323670411e-01 1.111111111111111049e-01
1.430601442429164649e+00 2.254674058611555176e-01 1.111111111111111049e-01
1.433501709230196264e+00 2.245899422905781595e-01 1.111111111111111049e-01
1.436396544888932869e+00 2.237174958037737027e-01 1.111111111111111049e-01
1.439285957744312006e+00 2.228500328908745443e-01 1.111111111111111049e-01
1.442169956135271880e+00 2.219875204433711391e-01 1.111111111111111049e-01
1.445048548400750255e+00 2.211299257485717373e-01 1.111111111111111049e-01
1.447921742879685558e+00 2.202772164841535485e-01 1.111111111111111049e-01
1.450789547911015553e+00 2.194293607128050827e-01 1.111111111111111049e-01
1.453651971833678225e+00 2.185863268769563106e-01 1.111111111111111049e-01
1.456509023108826462e+00 2.177480836907563222e-01 1.111111111111111049e-01
1.459360710846667075e+00 2.169145996019411216e-01 1.111111111111111049e-01
1.462207044359177255e+00 2.160858431883526942e-01 1.111111111111111049e-01
1.465048032957798396e+00 2.152617833966552208e-01 1.111111111111111049e-01
1.467883685953970785e+00 2.144423895377239320e-01 1.111111111111111049e-01
1.470714012659135372e+00 2.136276312817169398e-01 1.111111111111111049e-01
1.473539022384732666e+00 2.128174786532268381e-01 1.111111111111111049e-01
1.476358724442203396e+00 2.120119020265114618e-01 1.111111111111111049e-01
1.479173128142988070e+00 2.112108721208017514e-01 1.111111111111111049e-01
1.481982242798527416e+00 2.104143599956856681e-01 1.111111111111111049e-01
1.484786077830025031e+00 2.096223369491028721e-01 1.111111111111111049e-01
1.487584643236810500e+00 2.088347740060715330e-01 1.111111111111111049e-01
1.490377949193970375e+00 2.080516422954174771e-01 1.111111111111111049e-01
1.493166005875960822e+00 2.072729132769143279e-01 1.111111111111111049e-01
1.495948823457238452e+00 2.064985587372420162e-01 1.111111111111111049e-01
1.498726412112258988e+00 2.057285507856610185e-01 1.111111111111111049e-01
1.501498782015478595e+00 2.049628618497552623e-01 1.111111111111111049e-01
1.504265943341354328e+00 2.042014646712424497e-01 1.111111111111111049e-01
1.507027906264341466e+00 2.034443323018514382e-01 1.111111111111111049e-01
1.509784680958896397e+00 2.026914380992637654e-01 1.111111111111111049e-01
1.512536277697109854e+00 2.019427556312826944e-01 1.111111111111111049e-01
1.515282707259446138e+00 2.011982581926247127e-01 1.111111111111111049e-01
1.518023980576362453e+00 2.004579191608608646e-01 1.111111111111111049e-01
1.520760108577591030e+00 1.997217122113321142e-01 1.111111111111111049e-01
1.523491102192864766e+00 1.989896113135874445e-01 1.111111111111111049e-01
1.526216972351915890e+00 1.982615907275753764e-01 1.111111111111111049e-01
1.528937729984476857e+00 1.975376249998944123e-01 1.111111111111111049e-01
1.531653386020280561e+00 1.968176889601011004e-01 1.111111111111111049e-01
1.534363951389059455e+00 1.961017577170760529e-01 1.111111111111111049e-01
1.537069437020545770e+00 1.953898066554451418e-01 1.111111111111111049e-01
1.539769853930387455e+00 1.946818113460138944e-01 1.111111111111111049e-01
1.542465213574544247e+00 1.939777470915221569e-01 1.111111111111111049e-01
1.545155527533647488e+00 1.932775892610885393e-01 1.111111111111111049e-01
1.547840807387510287e+00 1.925813134923957115e-01 1.111111111111111049e-01
1.550521064715946640e+00 1.918888956885349828e-01 1.111111111111111049e-01
1.553196311098769877e+00 1.912003120146431034e-01 1.111111111111111049e-01
1.555866558115793774e+00 1.905155388945906081e-01 1.111111111111111049e-01
1.558531817346831660e+00 1.898345530077200916e-01 1.111111111111111049e-01
1.561192100371697089e+00 1.891573312856333622e-01 1.111111111111111049e-01
1.563847418770203834e+00 1.884838509090279446e-01 1.111111111111111049e-01
1.566497784285339812e+00 2.112908502254557119e-01 1.250000000000000000e-01
1.569143209057853650e+00 2.105415255863605506e-01 1.250000000000000000e-01
1.571783705098017014e+00 2.097963328422449703e-01 1.250000000000000000e-01
1.574419284409201758e+00 2.090552467616884902e-01 1.250000000000000000e-01
1.577049958994780843e+00 2.083182423815404805e-01 1.250000000000000000e-01
1.579676157660114599e+00 2.076673481860693560e-01 1.250000000000000000e-01
1.582298739405678889e+00 2.070394821251789197e-01 1.250000000000000000e-01
1.584917731195217616e+00 2.064142918769517887e-01 1.250000000000000000e-01
1.587533134711732519e+00 2.057917650848298807e-01 1.250000000000000000e-01
1.590144951726818690e+00 2.051718894545126182e-01 1.250000000000000000e-01
1.592753183899999092e+00 2.045546528876771852e-01 1.250000000000000000e-01
