w  L  F   dF   ddF gamma2
8.900000000000000133e-01  8.220000000000000639e+00  1.150500000000000078e+00  8.884999999999999565e-01  -8.937000000000000499e-01  -8.610999999999999766e-01
9.000000000000000222e-01  8.199999999999999289e+00  1.159299999999999997e+00  8.796000000000000485e-01  -8.912999999999999812e-01  -8.610999999999999766e-01
9.100000000000000311e-01  8.179999999999999716e+00  1.167999999999999927e+00  8.707000000000000295e-01  -8.889000000000000234e-01  -8.610999999999999766e-01
9.200000000000000400e-01  8.160000000000000142e+00  1.176700000000000079e+00  8.618000000000000105e-01  -8.862999999999999767e-01  -8.610999999999999766e-01
9.300000000000000488e-01  8.140000000000000568e+00  1.185300000000000020e+00  8.529999999999999805e-01  -8.837000000000000410e-01  -8.610999999999999766e-01
9.399999999999999467e-01  8.119999999999999218e+00  1.193799999999999972e+00  8.440999999999999615e-01  -8.810999999999999943e-01  -8.610999999999999766e-01
9.499999999999999556e-01  8.099999999999999645e+00  1.202199999999999935e+00  8.353000000000000425e-01  -8.782999999999999696e-01  -8.610999999999999766e-01
9.599999999999999645e-01  8.080000000000000071e+00  1.210499999999999909e+00  8.266000000000000014e-01  -8.754999999999999449e-01  -8.610999999999999766e-01
9.699999999999999734e-01  8.060000000000000497e+00  1.218699999999999894e+00  8.177999999999999714e-01  -8.726000000000000423e-01  -8.610999999999999766e-01
9.799999999999999822e-01  8.039999999999999147e+00  1.226799999999999891e+00  8.091000000000000414e-01  -8.697000000000000286e-01  -8.610999999999999766e-01
9.899999999999999911e-01  8.019999999999999574e+00  1.234900000000000109e+00  8.004000000000000004e-01  -8.667000000000000259e-01  -8.610999999999999766e-01
1.000000000000000000e+00  8.000000000000000000e+00  1.242799999999999905e+00  7.917999999999999483e-01  -8.636000000000000343e-01  -8.610999999999999766e-01
1.010000000000000009e+00  7.980000000000000426e+00  1.250699999999999923e+00  7.832000000000000073e-01  -8.608999999999999986e-01  -8.610999999999999766e-01
1.020000000000000018e+00  7.959999999999999964e+00  1.258499999999999952e+00  7.745999999999999552e-01  -8.600999999999999757e-01  -8.610999999999999766e-01
1.030000000000000027e+00  7.940000000000000391e+00  1.266199999999999992e+00  7.660000000000000142e-01  -8.592999999999999527e-01  -8.610999999999999766e-01
1.040000000000000036e+00  7.919999999999999929e+00  1.273800000000000043e+00  7.573999999999999622e-01  -8.585000000000000409e-01  -8.610999999999999766e-01
1.050000000000000044e+00  7.900000000000000355e+00  1.281400000000000095e+00  7.488000000000000211e-01  -8.576000000000000290e-01  -8.610999999999999766e-01
1.060000000000000053e+00  7.879999999999999893e+00  1.288799999999999946e+00  7.401999999999999691e-01  -8.567000000000000171e-01  -8.610999999999999766e-01
1.070000000000000062e+00  7.860000000000000320e+00  1.296200000000000019e+00  7.317000000000000171e-01  -8.558000000000000052e-01  -8.610999999999999766e-01
1.080000000000000071e+00  7.839999999999999858e+00  1.303399999999999892e+00  7.230999999999999650e-01  -8.548999999999999932e-01  -8.610999999999999766e-01
1.090000000000000080e+00  7.820000000000000284e+00  1.310599999999999987e+00  7.146000000000000130e-01  -8.538999999999999924e-01  -8.610999999999999766e-01
1.100000000000000089e+00  7.799999999999999822e+00  1.317700000000000093e+00  7.059999999999999609e-01  -8.529999999999999805e-01  -8.610999999999999766e-01
1.110000000000000098e+00  7.780000000000000249e+00  1.324699999999999989e+00  6.975000000000000089e-01  -8.519999999999999796e-01  -8.610999999999999766e-01
