w  L  F   dF   ddF gamma2
4.899999999999999911e-01  9.019999999999999574e+00  1.629699999999999926e+00  2.793200000000000127e+00  -2.221499999999999808e+00  -4.000000000000000000e+00
5.000000000000000000e-01  9.000000000000000000e+00  1.657499999999999973e+00  2.770999999999999908e+00  -2.222700000000000120e+00  -4.000000000000000000e+00
5.100000000000000089e-01  8.980000000000000426e+00  1.685100000000000042e+00  2.748800000000000132e+00  -2.223700000000000010e+00  -4.000000000000000000e+00
5.200000000000000178e-01  8.960000000000000853e+00  1.712499999999999911e+00  2.726500000000000146e+00  -2.224600000000000133e+00  -4.000000000000000000e+00
5.300000000000000266e-01  8.939999999999999503e+00  1.739700000000000024e+00  2.704299999999999926e+00  -2.225400000000000045e+00  -4.000000000000000000e+00
5.400000000000000355e-01  8.919999999999999929e+00  1.766599999999999948e+00  2.681999999999999940e+00  -2.225999999999999979e+00  -4.000000000000000000e+00
5.500000000000000444e-01  8.900000000000000355e+00  1.793299999999999894e+00  2.659800000000000164e+00  -2.226500000000000146e+00  -4.000000000000000000e+00
5.600000000000000533e-01  8.880000000000000782e+00  1.819800000000000084e+00  2.637500000000000178e+00  -2.226799999999999891e+00  -4.000000000000000000e+00
5.699999999999999512e-01  8.859999999999999432e+00  1.846100000000000074e+00  2.615200000000000191e+00  -2.227100000000000080e+00  -4.000000000000000000e+00
5.799999999999999600e-01  8.839999999999999858e+00  1.872100000000000097e+00  2.592999999999999972e+00  -2.227199999999999847e+00  -4.000000000000000000e+00
5.899999999999999689e-01  8.820000000000000284e+00  1.897899999999999920e+00  2.570699999999999985e+00  -2.227100000000000080e+00  -4.000000000000000000e+00
5.999999999999999778e-01  8.800000000000000711e+00  1.923499999999999988e+00  2.548399999999999999e+00  -2.226900000000000102e+00  -4.000000000000000000e+00
6.099999999999999867e-01  8.779999999999999361e+00  1.948900000000000077e+00  2.526199999999999779e+00  -2.226599999999999913e+00  -4.000000000000000000e+00
6.199999999999999956e-01  8.759999999999999787e+00  1.973999999999999977e+00  2.503899999999999793e+00  -2.226199999999999957e+00  -4.000000000000000000e+00
6.300000000000000044e-01  8.740000000000000213e+00  1.999000000000000110e+00  2.481599999999999806e+00  -2.225600000000000023e+00  -4.000000000000000000e+00
6.400000000000000133e-01  8.720000000000000639e+00  2.023699999999999832e+00  2.459400000000000031e+00  -2.224899999999999878e+00  -4.000000000000000000e+00
6.500000000000000222e-01  8.699999999999999289e+00  2.048099999999999810e+00  2.437100000000000044e+00  -2.224000000000000199e+00  -4.000000000000000000e+00
6.600000000000000311e-01  8.679999999999999716e+00  2.072400000000000020e+00  2.414899999999999824e+00  -2.223100000000000076e+00  -4.000000000000000000e+00
6.700000000000000400e-01  8.660000000000000142e+00  2.096400000000000041e+00  2.392700000000000049e+00  -2.221900000000000208e+00  -4.000000000000000000e+00
6.800000000000000488e-01  8.640000000000000568e+00  2.120299999999999851e+00  2.370499999999999829e+00  -2.220699999999999896e+00  -4.000000000000000000e+00
6.899999999999999467e-01  8.619999999999999218e+00  2.143899999999999917e+00  2.348300000000000054e+00  -2.219399999999999817e+00  -4.000000000000000000e+00
6.999999999999999556e-01  8.599999999999999645e+00  2.167199999999999793e+00  2.326099999999999834e+00  -2.217900000000000205e+00  -4.000000000000000000e+00
7.099999999999999645e-01  8.580000000000000071e+00  2.190399999999999903e+00  2.303900000000000059e+00  -2.216200000000000170e+00  -4.000000000000000000e+00
7.199999999999999734e-01  8.560000000000000497e+00  2.213299999999999823e+00  2.281800000000000050e+00  -2.214500000000000135e+00  -4.000000000000000000e+00
7.299999999999999822e-01  8.539999999999999147e+00  2.236000000000000210e+00  2.259599999999999831e+00  -2.212600000000000122e+00  -4.000000000000000000e+00
7.399999999999999911e-01  8.519999999999999574e+00  2.258500000000000174e+00  2.237499999999999822e+00  -2.210599999999999898e+00  -4.000000000000000000e+00
7.500000000000000000e-01  8.500000000000000000e+00  2.280800000000000161e+00  2.215399999999999814e+00  -2.208499999999999908e+00  -4.000000000000000000e+00
7.600000000000000089e-01  8.480000000000000426e+00  2.302799999999999958e+00  2.193299999999999805e+00  -2.206199999999999939e+00  -4.000000000000000000e+00
7.700000000000000178e-01  8.460000000000000853e+00  2.324600000000000222e+00  2.171300000000000008e+00  -2.203800000000000203e+00  -4.000000000000000000e+00
